ID,target,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131
24,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.3129096,15.4474125,6.527708,3.7983966,12.67087,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,7.82436,7392,1.0930884,4,1.6981288,1.8760304,2.743454,5.093328,8.206417,3,0,1.6221507,2.161633,3.0046668,8.122387,13.375597,0.7414709,0,1.2371838,15.270965,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,8,12.538022,8.016547,1.3234544,7.198159,4,15.711299,1.2538562,1.5595562,74,4.077828,7.701653,10.587945,1.7142946,14.583035,1,1.6873275,6.3437138,15.847556,0,9.287274,17.564117,9.449335,12.2699585,4,1,2.4333034,1,3,2.4050555,7.307366,13.334482,2,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,5,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,0,2.15262,4.1812844,0,3.3653135,5,33,9.140132,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,18,1.6726577,3.2395418,2.030373,0,1.9257636,1.7393892
27,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.0284461,15.4474125,5.9877634,3.7983966,10.655475,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,5.959166,898,1.0930884,3,1.6981288,1.8760304,2.743454,5.093328,8.206417,6,0,1.6221507,2.161633,5.125236,8.122387,13.375597,0.7414709,0,1.2371838,11.631575,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,2,12.538022,8.016547,2.2434156,7.198159,0,15.711299,1.2538562,1.5595562,21,4.077828,7.701653,10.587945,1.7142946,14.583035,1,1.6873275,6.3437138,15.847556,2,9.287274,17.564117,9.449335,12.2699585,4,1,2.4333034,1,3,2.4050555,7.307366,13.334482,4,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,0,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,4,2.15262,4.1812844,1,3.3653135,12,36,13.261054,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,13,1.6726577,3.2395418,2.030373,0,1.9257636,1.7393892
28,0,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.3129109,15.4474125,6.886729,3.7983966,12.306725,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,7.4574313,13032,1.0930884,4,1.6981288,1.8760304,2.743454,5.093328,8.206417,7,0,1.6221507,2.161633,6.7961693,8.122387,13.375597,0.7414709,0,1.2371838,9.27574,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,8,12.538022,8.016547,0.32572863,7.198159,7,15.711299,1.2538562,1.5595562,47,4.077828,7.701653,10.587945,1.7142946,14.583035,1,1.6873275,6.3437138,15.847556,2,9.287274,17.564117,9.449335,12.2699585,4,1,2.4333034,1,3,2.4050555,7.307366,13.334482,2,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,6,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,2,2.15262,4.1812844,0,3.3653135,19,25,14.359196,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,89,1.6726577,3.2395418,2.030373,0,1.9257636,1.7393892
30,1,1.4002669,5.367204,2,4.1221547,8.137189,2.9830801,2.6402488,0.21185113,11.021505,1.8161925,15.594521,6.2151756,2.861102,11.18582,2.078265,4.5303874,3.0857472,1.8715096,0.17627162,17.735727,5.8307667,11069,-8.9391824e-7,2,0.059348594,1.6080436,3.8334818,9.602309,7.3196797,7,1,1.3691015,1.6117548,5.0907927,6.8922534,12.587747,0.573355,0,1.6015018,12.478836,6.335707,11.393588,2.1589038,11.958011,6.9408016,0.122971736,2,12.97218,7.097062,3.219132,6.3805394,9,15.815084,0.051092282,1.1487095,11,3.878006,5.672205,7.837297,1.4692777,14.642433,0,0.10917917,5.4160237,16.10704,0,8.125556,16.117825,9.502763,8.806745,4,4,2.3401835,1,3,1.8697474,6.522706,13.591161,1,2.2043016,6.305777,14.600117,1.64292,1.0952805,1.5921155,1.0952815,8.905066,1.6740881,0.048087656,0.82668567,6,0.4377981,4.839267,3.4613018,0.48971042,5.7880673,6.0708275,12.017643,1.2733757,14.305136,4.9229836,1.2046784,4.225954,1.8053799,0.10683569,11.132971,2,1.5698068,1.0690787,1,2.5378447,4,36,12.954856,10.497238,2.1897817,2.7696905,6.6441813,1.2336667,2.4018123,2.3149307,8.8172035,2.096062,5.459061e-7,17,1.7316563,6.1025167,1.388117,4,1.2209107,1.8784528
31,1,2.2600358,14.693263,2,5.15075,8.554135,1.9546255,2.9319363,0.041445654,7.0229015,1.2910292,15.837937,6.8379245,3.1911817,12.603404,1.3917007,5.306123,5.948861,0.26362333,0.26532283,15.158315,7.728948,13032,-7.587518e-7,4,0.12392853,2.1436875,2.094241,2.4481506,8.621292,1,0,1.2041881,1.710296,4.6037064,9.633508,10.779298,0.83333284,0,0.05800774,12.720497,7.5043626,14.938917,2.4677722,13.091156,8.714424,0.110181406,2,9.850814,9.738219,0.41669768,6.3080406,6,16.275303,0.1446542,1.6230364,17,6.020943,2.198391,12.858981,1.9197212,15.875222,1,0.17264262,9.558972,14.099196,0,9.47644,18.981234,12.653062,12.690938,4,1,1.7648864,1,3,3.7482057,8.062827,11.428572,4,1.9847329,6.792558,8.69819,1.4659693,1.3612574,3.0872478,0.8638746,11.645624,1.1867359,0.12533122,1.3941895,6,0.47019243,6.8385043,5.7855287,0.5190781,7.0157075,7.142856,5.4742846,1.8237343,17.74799,13.605687,2.6235225,6.255765,2.492023,0.033420607,15.47321,2,3.0494633,5.427632,1,1.7801044,19,36,11.469686,6.9387755,2.4291496,7.7118335,7.976191,2.0081856,0.9651469,1.5053773,5.038168,1.8366666,0.0059739794,89,3.2421281,0.81806326,2.4000504,0,1.166666,2.8571427
32,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.3129096,15.4474125,6.4284506,3.7983966,11.685932,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,6.920709,11394,1.0930884,4,1.6981288,1.8760304,2.743454,5.093328,8.206417,7,0,1.6221507,2.161633,2.1567726,8.122387,13.375597,0.7414709,0,1.2371838,16.611677,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,8,12.538022,8.016547,1.5992956,7.198159,2,15.711299,1.2538562,1.5595562,74,4.077828,7.701653,10.587945,1.7142946,14.583035,1,1.6873275,6.3437138,15.847556,0,9.287274,17.564117,9.449335,12.2699585,1,1,2.4333034,1,1,2.4050555,7.307366,13.334482,2,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,0,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,4,2.15262,4.1812844,0,3.3653135,5,28,7.508456,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,52,1.6726577,3.2395418,2.030373,0,1.9257636,1.7393892
33,1,0.6228961,7.0247316,2,4.193688,6.2881765,2.132436,3.1986537,0.4075248,10.434782,1.3129095,15.545978,6.52982,3.2953131,12.688605,1.9542159,8.080809,2.659194,0.55056834,0.21486297,16.29989,7.7711663,11580,0.044326797,4,0.28711233,1.2139912,4.107744,3.8079965,6.7003365,6,0,1.6161617,2.222222,2.038716,6.84624,16.810814,0.21052715,0,-9.981877e-7,16.798351,6.071829,12.626263,1.695402,11.069609,8.228643,0.32399943,8,13.703422,7.3625135,1.3175842,9.534709,5,16.247906,0.23020029,1.7171712,122,4.1526365,2.130938,8.664761,1.17284,14.542643,1,0.31818426,4.79004,14.498096,1,7.811447,19.332478,10.303031,10.649711,4,1,2.873563,1,3,1.5844562,6.3187428,11.111111,2,4.3478265,10.867246,3.1370385,1.8518522,2.6936023,1.9030519,0.9427612,5.1865463,0.7631884,0.14010379,0.952757,2,0.3072473,4.5640845,5.1114483,0.36897916,5.443323,4.000001,7.4865255,1.0082301,17.894737,5.1379843,1.7028114,7.847816,2.2509995,0.14070497,10.4284935,3,1.0173466,0.7292649,0,3.1649823,8,17,7.0170465,9.494948,1.9095486,4.8170166,4.140351,2.2844446,0.69319737,2.5152447,6.0869565,2.8126235,0.2474223,37,1.8655298,3.34596,0.79653317,0,1.3894736,0.60606146
34,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.5536108,15.4474125,6.779448,3.7983966,12.3215,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,6.9767437,18210,1.0930884,3,1.6981288,1.8760304,2.743454,5.093328,8.206417,2,1,1.6221507,2.161633,6.537548,8.122387,13.375597,0.7414709,0,1.2371838,9.926924,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,2,12.538022,8.016547,1.115105,7.198159,3,15.711299,1.2538562,1.5595562,24,4.077828,7.701653,10.587945,1.7142946,14.583035,0,1.6873275,6.3437138,15.847556,0,9.287274,17.564117,9.449335,12.2699585,4,2,2.4333034,1,3,2.4050555,7.307366,13.334482,1,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,0,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,4,2.15262,4.1812844,1,3.3653135,19,36,14.164228,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,89,1.6726577,3.2395418,2.030373,2,1.9257636,1.7393892
35,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.79431,15.4474125,6.942488,3.7983966,12.292376,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,6.839776,743,1.0930884,2,1.6981288,1.8760304,2.743454,5.093328,8.206417,7,1,1.6221507,2.161633,8.565452,8.122387,13.375597,0.7414709,0,1.2371838,6.962594,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,2,12.538022,8.016547,1.1532537,7.198159,2,15.711299,1.2538562,1.5595562,121,4.077828,7.701653,10.587945,1.7142946,14.583035,0,1.6873275,6.3437138,15.847556,0,9.287274,17.564117,9.449335,12.2699585,1,1,2.4333034,1,1,2.4050555,7.307366,13.334482,0,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,1,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,1,2.15262,4.1812844,1,3.3653135,9,36,16.185658,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,68,1.6726577,3.2395418,2.030373,1,1.9257636,1.7393892
36,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,3.9168482,15.4474125,8.500203,3.7983966,14.775678,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,8.743364,3342,1.0930884,2,1.6981288,1.8760304,2.743454,5.093328,8.206417,5,1,1.6221507,2.161633,7.80467,8.122387,13.375597,0.7414709,0,1.2371838,10.301716,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,2,12.538022,8.016547,1.156189,7.198159,2,15.711299,1.2538562,1.5595562,90,4.077828,7.701653,10.587945,1.7142946,14.583035,0,1.6873275,6.3437138,15.847556,1,9.287274,17.564117,9.449335,12.2699585,4,1,2.4333034,1,3,2.4050555,7.307366,13.334482,0,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,6,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,2,2.15262,4.1812844,1,3.3653135,5,36,13.8940525,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,26,1.6726577,3.2395418,2.030373,1,1.9257636,1.7393892
